Saino,25.1134,87.0108,Bihar,2987
Shekhpura,25.5725,85.1428,Bihar,2950
Cachohalli,13.001,77.4717,Karnataka,2946
Andheri,19.2104,73.0464,Maharashtra,2937
Narayanpur Kola,25.1293,87.0076,Bihar,2919
Gyan Chak,25.5496,85.2423,Bihar,2855
Kasgatpur,13.1101,77.5045,Karnataka,2852
Kitanelli,13.0095,77.4191,Karnataka,2827
Harchandi,25.1,87.0442,Bihar,2827
Santoshpur,22.465,88.2193,West Bengal,2808
Bendravadi,12.3636,76.9137,Karnataka,2684
Kodagihalli,12.9771,77.4651,Karnataka,2585
Harna Buzurg,25.0981,87.0148,Bihar,2579
Mailanhalli,13.1863,77.6963,Karnataka,2543
Sultanpur,25.5248,85.2507,Bihar,2473
Adakimaranhalli,13.0633,77.4417,Karnataka,2453
